from_node,to_node,from_lat_long,to_lat_long,distance,travel_time,distance_text,duration_text,city_id,from_lat,from_long
Isa Town Terminal 2,Isa Town Terminal 2,"26.17375,  50.54735","26.17375, 50.54735",0,0,,,0,26.17375,50.54735
Isa Town Terminal 2,Sh. Salman Highway-11 Riffa,"26.17375, 50.54735","26.129433,  50.537533",0,0,,,0,26.17375,50.54735
Isa Town Terminal 2,Sh. Salman Highway-13,"26.17375,  50.54735","26.161899,  50.540713",0,0,,,0,26.17375,50.54735
Isa Town Terminal 2,University of Bahrain - Sakhir 2,"26.17375,  50.54735","26.048766, 50.512333",0,0,,,0,26.17375,50.54735
Isa Town Terminal 2,Educational Area - 2 Isa Town,"26.17375, 50.54735","26.162067, 50.549217",0,0,,,0,26.17375,50.54735
Isa Town Terminal 2,Bahrain University Main Gate/2 Zallaq,"26.17375, 50.54735","26.056805, 50.509186",0,0,,,0,26.17375,50.54735
Isa Town Terminal 2,Isa Town Gate-2 Isa Town,"26.17375, 50.54735","26.169636, 50.544911",0,0,,,0,26.17375,50.54735
Isa Town Terminal 2,Safreh Housing Riffa,"26.17375, 50.54735","26.106908, 50.539928",0,0,,,0,26.17375,50.54735
Isa Town Terminal 2,Bahrain University Main Gate 1,"26.17375, 50.54735","26.056796, 50.508591",0,0,,,0,26.17375,50.54735
Isa Town Terminal 2,Isa Town PID Stop,"26.17375, 50.54735","26.173534, 50.547817",0,0,,,0,26.17375,50.54735
Isa Town Terminal 2,16 December HWY-1 Isa Town,"26.17375, 50.54735","26.157364, 50.540535",0,0,,,0,26.17375,50.54735
Isa Town Terminal 2,Sh. Abdulla School-1 Isa Town,"26.17375, 50.54735","26.160967, 50.54515",0,0,,,0,26.17375,50.54735
Isa Town Terminal 2,Bahrain University Isa Town,"26.17375, 50.54735","26.163998, 50.546377",0,0,,,0,26.17375,50.54735
Isa Town Terminal 2,Sh. Salman Highway-10 Jary AlSheikh Riffa,"26.17375, 50.54735","26.1392, 50.5389",0,0,,,0,26.17375,50.54735
Sh. Salman Highway-11 Riffa,Isa Town Terminal 2,"26.129433, 50.537533","26.17375, 50.54735",0,0,,,1,26.129433,50.537533
Sh. Salman Highway-11 Riffa,Sh. Salman Highway-11 Riffa,"26.129433, 50.537533","26.129433,  50.537533",0,0,,,1,26.129433,50.537533
Sh. Salman Highway-11 Riffa,Sh. Salman Highway-13,"26.129433, 50.537533","26.161899,  50.540713",0,0,,,1,26.129433,50.537533
Sh. Salman Highway-11 Riffa,University of Bahrain - Sakhir 2,"26.129433, 50.537533","26.048766, 50.512333",0,0,,,1,26.129433,50.537533
Sh. Salman Highway-11 Riffa,Educational Area - 2 Isa Town,"26.129433, 50.537533","26.162067, 50.549217",0,0,,,1,26.129433,50.537533
Sh. Salman Highway-11 Riffa,Bahrain University Main Gate/2 Zallaq,"26.129433, 50.537533","26.056805, 50.509186",0,0,,,1,26.129433,50.537533
Sh. Salman Highway-11 Riffa,Isa Town Gate-2 Isa Town,"26.129433, 50.537533","26.169636, 50.544911",0,0,,,1,26.129433,50.537533
Sh. Salman Highway-11 Riffa,Safreh Housing Riffa,"26.129433, 50.537533","26.106908, 50.539928",0,0,,,1,26.129433,50.537533
Sh. Salman Highway-11 Riffa,Bahrain University Main Gate 1,"26.129433, 50.537533","26.056796, 50.508591",0,0,,,1,26.129433,50.537533
