from_node,to_node,from_lat_long,to_lat_long,distance,travel_time,distance_text,duration_text,city_id,from_lat,from_long,,
Muharraq Terminal 3,Muharraq Terminal 3,"26.249233, 50.6079","26.249233, 50.6079",0,0,,,0,26.249233,50.6079,,
Muharraq Terminal 3,Wali Al Ahed Highway-4 Buri,"26.249233, 50.6079","26.140633, 50.507267",0,0,,,0,26.249233,50.6079,,
Muharraq Terminal 3,Wali Al Ahed HWY-6 Hamad Town,"26.249233, 50.6079","26.14205, 50.501783",0,0,,,0,26.249233,50.6079,,
Muharraq Terminal 3,Wali Al Ahed HWY-5 Buri,"26.249233, 50.6079","26.142383, 50.501367",0,0,,,0,26.249233,50.6079,,
Muharraq Terminal 3,Al Razi Health Center,"26.249233, 50.6079","26.227964, 50.565464",0,0,,,0,26.249233,50.6079,,
Muharraq Terminal 3,University of Bahrain - Sakhir 2,"26.249233, 50.6079","26.048766, 50.512333",0,0,,,0,26.249233,50.6079,,
Muharraq Terminal 3,Muharraq PID,"26.249233, 50.6079","26.24885, 50.607896",0,0,,,0,26.249233,50.6079,,
Muharraq Terminal 3,Bahrain University Main Gate/2 Zallaq,"26.249233, 50.6079","26.056805, 50.509186",0,0,,,0,26.249233,50.6079,,
Muharraq Terminal 3,Bahrain University Main Gate 1,"26.249233, 50.6079","26.056796, 50.508591",0,0,,,0,26.249233,50.6079,,
Muharraq Terminal 3,Nasser AlJabur Avenue-2,"26.249233, 50.6079","26.234637, 50.540977",0,0,,,0,26.249233,50.6079,,
Muharraq Terminal 3,Nasser AlJabur Avenue-1,"26.249233, 50.6079","26.234831, 50.54587",0,0,,,0,26.249233,50.6079,,
Muharraq Terminal 3,Manama Post Office  Manama,"26.249233, 50.6079","26.234418, 50.575338",0,0,,,0,26.249233,50.6079,,
Muharraq Terminal 3,City Centre Bahrain Manama,"26.249233, 50.6079","26.232336, 50.555904",0,0,,,0,26.249233,50.6079,,
Muharraq Terminal 3,Manama Terminal 6 Manama,"26.249233, 50.6079","26.23091, 50.570469",0,0,,,0,26.249233,50.6079,,
Muharraq Terminal 3,Seef Mall Manama,"26.249233, 50.6079","26.234389, 50.536222",0,0,,,0,26.249233,50.6079,,
Muharraq Terminal 3,Wali Al Ahed HWY-1 Souq Waqif Hamad Town,"26.249233, 50.6079","26.14361, 50.495636",0,0,,,0,26.249233,50.6079,,
Muharraq Terminal 3,Government Ave-1 Manama Centre,"26.249233, 50.6079","26.236683, 50.578517",0,0,,,0,26.249233,50.6079,,
Muharraq Terminal 3,Bab Al Bahrain Station Manama,"26.249233, 50.6079","26.234671, 50.571809",0,0,,,0,26.249233,50.6079,,
